Name,Netflows,First_Protocol,Second_Protocol,Third_Protocol,p1_d,p2_d,p3_d,duration,max_d,min_d,#packets,Avg_bps,Avg_pps,Avg_bpp,#Bytes,#sp,#dp,first_sp,second_sp,third_sp,first_dp,second_dp,third_dp,p1_ip,p2_ip,p3_ip,p1_ib,p2_ib,p3_ib,Type
4-csves/2.csv,2,TCP,,,289.109,289.109,289.109,578.218,289.109,289.109,16,203,0,460,7360,2,2,3337,54082,,3337,54082,,8.0,8.0,8.0,1920.0,3680.0,5440.0,mine
4-csves/4.csv,2,TCP,,,585.2972500000001,585.2975,585.29775,1170.595,585.298,585.297,79,523,0,484,38293,2,2,3337,54082,,3337,54082,,39.25,39.5,39.75,10025.75,19146.5,28267.25,mine
4-csves/5.csv,4,TCP,,,39.661750000000005,85.79249999999999,126.7555,322.49899999999997,126.757,24.157,29,577,0,519,15055,2,2,3337,54082,,3337,54082,,3.75,7.5,11.0,180.0,2080.0,5663.75,mine
4-csves/7.csv,2,TCP,,,504.25325,504.25350000000003,504.25375,1008.5070000000001,504.254,504.253,65,450,0,436,28402,2,2,3337,54082,,3337,54082,,32.25,32.5,32.75,7483.0,14201.0,20919.0,mine
5-csves/0.csv,2,TCP,,,273.00025,273.0005,273.00075,546.001,273.001,273.0,22,309,0,480,10579,2,2,3337,54082,,3337,54082,,11.0,11.0,11.0,2754.75,5289.5,7824.25,mine
5-csves/1.csv,2,TCP,,,254.16625,254.1675,254.16875,508.335,254.17,254.165,34,409,0,382,13003,2,2,3337,54082,,3337,54082,,17.0,17.0,17.0,3420.75,6501.5,9582.25,mine
5-csves/3.csv,2,TCP,,,554.05025,554.0505,554.0507500000001,1108.101,554.051,554.05,58,320,0,382,22206,2,2,3337,54082,,3337,54082,,29.0,29.0,29.0,5841.5,11103.0,16364.5,mine
5-csves/4.csv,2,TCP,,,238.15849999999998,238.159,238.1595,476.318,238.16,238.158,48,634,0,393,18883,2,2,3337,54082,,3337,54082,,24.0,24.0,24.0,4960.75,9441.5,13922.25,mine
5-csves/5.csv,2,TCP,,,243.498,243.498,243.498,486.996,243.498,243.498,27,365,0,412,11140,2,2,3337,54082,,3337,54082,,13.25,13.5,13.75,2977.5,5570.0,8162.5,mine
5-csves/7.csv,2,TCP,,,522.3977500000001,522.4165,522.43525,1044.833,522.454,522.379,52,326,0,409,21319,2,2,3337,54082,,3337,54082,,26.0,26.0,26.0,5642.25,10659.5,15676.75,mine
5-csves/8.csv,2,TCP,,,257.1225,257.158,257.1935,514.316,257.229,257.087,20,242,0,390,7805,2,2,3337,54082,,3337,54082,,10.0,10.0,10.0,2051.25,3902.5,5753.75,mine
6-csves/2.csv,2,TCP,,,573.463,573.463,573.463,1146.926,573.463,573.463,52,328,0,452,23546,2,2,3337,54082,,3337,54082,,26.0,26.0,26.0,6146.5,11773.0,17399.5,mine
6-csves/4.csv,2,TCP,,,519.7429999999999,519.9169999999999,520.091,1039.8339999999998,520.265,519.569,43,285,0,431,18539,2,2,3337,54082,,3337,54082,,21.25,21.5,21.75,4854.75,9269.5,13684.25,mine
6-csves/5.csv,2,TCP,,,284.55,284.55,284.55,569.1,284.55,284.55,39,389,0,355,13848,2,2,3337,54082,,3337,54082,,19.25,19.5,19.75,3714.5,6924.0,10133.5,mine
6-csves/6.csv,2,TCP,,,528.18075,528.1814999999999,528.18225,1056.3629999999998,528.183,528.18,56,340,0,401,22476,2,2,3337,54082,,3337,54082,,27.5,28.0,28.5,6014.0,11238.0,16462.0,mine
6-csves/7.csv,2,TCP,,,514.4014999999999,514.402,514.4025,1028.804,514.403,514.401,40,240,0,386,15474,2,2,3337,54082,,3337,54082,,20.0,20.0,20.0,4068.5,7737.0,11405.5,mine
6-csves/8.csv,2,TCP,,,52.36475,56.5205,60.676249999999996,113.041,64.832,48.209,19,1069,0,456,8670,2,2,3337,54082,,3337,54082,,9.25,9.5,9.75,2257.5,4335.0,6412.5,mine
7-csves/0.csv,2,TCP,,,289.6445,289.645,289.6455,579.29,289.646,289.644,38,433,0,413,15695,2,2,3337,54082,,3337,54082,,19.0,19.0,19.0,4113.75,7847.5,11581.25,mine
7-csves/1.csv,2,TCP,,,537.8305,537.831,537.8315,1075.662,537.832,537.83,73,460,0,424,30973,2,2,3337,54082,,3337,54082,,35.75,36.5,37.25,8280.75,15486.5,22692.25,mine
7-csves/2.csv,2,TCP,,,249.40975,249.4105,249.41125,498.821,249.412,249.409,47,555,0,368,17318,2,2,3337,54082,,3337,54082,,23.25,23.5,23.75,4622.0,8659.0,12696.0,mine
7-csves/4.csv,2,TCP,,,565.6555,565.6569999999999,565.6585,1131.3139999999999,565.66,565.654,53,310,0,414,21963,2,2,3337,54082,,3337,54082,,26.25,26.5,26.75,5813.25,10981.5,16149.75,mine
7-csves/5.csv,2,TCP,,,494.287,494.287,494.287,988.574,494.287,494.287,60,395,0,407,24439,2,2,3337,54082,,3337,54082,,30.0,30.0,30.0,6409.75,12219.5,18029.25,mine
7-csves/7.csv,2,TCP,,,283.13925,283.1395,283.13975,566.279,283.14,283.139,26,369,0,502,13065,2,2,3337,54082,,3337,54082,,13.0,13.0,13.0,3396.25,6532.5,9668.75,mine
8-csves/0.csv,2,TCP,,,570.62725,570.6275,570.62775,1141.255,570.628,570.627,54,305,0,402,21761,2,2,3337,54082,,3337,54082,,27.0,27.0,27.0,5710.25,10880.5,16050.75,mine
8-csves/2.csv,2,TCP,,,252.666,252.666,252.666,505.332,252.666,252.666,16,228,0,451,7224,2,2,3337,54082,,3337,54082,,8.0,8.0,8.0,1886.0,3612.0,5338.0,mine
