Netflows,First_Protocol,Second_Protocol,Third_Protocol,p1_d,p2_d,p3_d,duration,max_d,min_d,#packets,Avg_bps,Avg_pps,Avg_bpp,#Bytes,#sp,#dp,first_sp,second_sp,third_sp,first_dp,second_dp,third_dp,p1_ip,p2_ip,p3_ip,p1_ib,p2_ib,p3_ib,Type,Cryptocurrency
209,TCP,UDP,ICMP6,0.0,0.0,3.025,1887.9260000000002,65.01100000000001,0.0,5517,186173,27,834,4601627,53,40,80,443.0,123.0,80,443.0,123.0,1.0,1.0,2.0,20.0,32.0,64.0,not_mine,Does not have
15,TCP,,,7.846500000000002,45.253,98.54899999999999,830.5820000000001,132.548,0.244,472,1186,1,134,63442,2,2,56731,4444.0,,4444,56731.0,,6.5,22.0,54.0,597.5,2716.0,4637.5,mine,Etherium
4,TCP,,,119.27075,129.74849999999998,139.98075,518.012,140.055,118.46,313,1291,1,134,42000,2,2,4444,55582.0,,55582,4444.0,,71.0,80.0,87.25,3693.25,9559.5,16366.25,mine,Etherium
2,TCP,,,576.355,576.355,576.355,1152.71,576.355,576.355,76,307,0,291,22132,2,2,3333,56490.0,,3333,56490.0,,36.5,38.0,39.5,6261.0,11066.0,15871.0,mine,Litecoin
248,TCP,UDP,,0.0,0.0,0.248,1371.316,46.875,0.0,478,1385,2,84,40153,50,43,443,80.0,50496.0,443,80.0,1900.0,1.0,1.0,2.0,20.0,32.0,64.0,not_mine,Does not have
6,TCP,,,56.0715,173.145,186.8775,761.965,191.50599999999997,15.667,505,1441,1,137,69514,2,2,4444,58780.0,,4444,58780.0,,37.25,113.0,120.5,3961.75,5137.0,21127.0,mine,Etherium
32,TCP,,,8.33425,14.812,21.8,498.724,35.259,1.919,315,1222,1,135,42834,2,2,4444,58780.0,,4444,58780.0,,5.75,10.0,13.0,456.0,807.0,2211.75,mine,Etherium
158,TCP,UDP,ICMP,0.0,3.0025,57.227,5757.4850000000015,194.953,0.0,5846,130402,19,823,4811438,64,55,443,80.0,0.0,443,80.0,778.0,1.0,4.0,8.0,48.0,120.0,696.75,not_mine,Does not have
2,TCP,,,265.33299999999997,265.33299999999997,265.33299999999997,530.6659999999999,265.33299999999997,265.33299999999997,62,686,0,367,22775,2,2,3333,56490.0,,3333,56490.0,,30.5,31.0,31.5,6225.75,11387.5,16549.25,mine,Litecoin
2,TCP,,,459.0870000000001,460.18199999999996,461.277,920.3639999999999,462.37199999999996,457.99199999999996,60,360,0,347,20848,2,2,3333,53058.0,,3333,53058.0,,29.0,30.0,31.0,5689.5,10424.0,15158.5,mine,Litecoin
691,TCP,UDP,,0.0,6.757999999999999,33.5035,10733.913999999999,73.374,0.0,3871,53988,33,201,778163,262,253,443,53.0,123.0,443,53.0,123.0,1.0,2.0,6.0,34.0,64.0,639.5,not_mine,Does not have
495,TCP,UDP,,0.0,0.0,0.1875,2828.0409999999997,61.185,0.0,7817,232938,38,749,5855190,108,105,443,123.0,80.0,443,123.0,80.0,1.0,1.0,3.0,32.0,34.0,145.0,not_mine,Does not have
2,TCP,,,535.408,535.408,535.408,1070.816,535.408,535.408,49,300,0,409,20086,2,2,3337,49875.0,,3337,49875.0,,24.25,24.5,24.75,5324.0,10043.0,14762.0,mine,Bitcash
8,TCP,,,2.54475,57.0005,114.12100000000001,473.69700000000006,121.625,0.0,257,1128,1,135,34720,2,2,4444,58780.0,,4444,58780.0,,2.0,29.5,60.75,421.0,1764.5,5598.25,mine,Etherium
114,TCP,UDP,,0.0,0.0195,2.86075,755.4,47.81,0.0,5245,657044,93,879,4612698,60,61,443,80.0,53.0,443,53.0,80.0,1.0,2.0,6.75,32.0,47.0,704.0,not_mine,Does not have
367,UDP,TCP,,0.0,0.0,10.4835,4299.585,120.0,0.0,2745,51371,17,375,1030144,188,174,53,443.0,123.0,53,443.0,1900.0,1.0,1.0,10.0,46.0,119.0,1773.0,not_mine,Does not have
2,TCP,,,594.6472500000001,594.6475,594.64775,1189.295,594.648,594.6469999999999,713,1306,1,136,97118,2,2,58839,4444.0,,58839,4444.0,,345.75,356.5,367.25,32396.0,48559.0,64722.0,mine,Etherium
